place_id,source,record_id,update_time,name,categories,phone,website,socials,addr,confidence
08f44f055a9a016e0390f050aa3c93c0,meta,"=""463273470392736""",2025-01-06T00:00:00.000Z,Goin' Postal Jacksonville,"{""primary"": ""shipping_center"", ""alternate"": [""freight_and_cargo_service"", ""post_office""]}","[""+19049989600""]","[""http://www.goinpostaljacksonville.com/""]","[""https://www.facebook.com/463273470392736""]","[{""freeform"": ""7643 Gate Pkwy"", ""locality"": ""Jacksonville"", ""postcode"": ""32256-2892"", ""region"": ""FL"", ""country"": ""US""}]",0.9962614185921548
08f44f055a9a016e0390f050aa3c93c0,msft,"=""844424934663407""",2025-01-06T00:00:00.000Z,Goin' Postal Jacksonville,"{""primary"": ""shipping_center"", ""alternate"": [""freight_and_cargo_service"", ""post_office""]}","[""+19049989600""]","[""http://www.goinpostaljacksonville.com/""]","[""https://www.facebook.com/463273470392736""]","[{""freeform"": ""7643 Gate Pkwy"", ""locality"": ""Jacksonville"", ""postcode"": ""32256-2892"", ""region"": ""FL"", ""country"": ""US""}]",0.9962614185921548
08f44f055a9a016e0390f050aa3c93c0,msft,"=""1688849865669487""",2025-01-06T00:00:00.000Z,Goin' Postal Jacksonville,"{""primary"": ""shipping_center"", ""alternate"": [""freight_and_cargo_service"", ""post_office""]}","[""+19049989600""]","[""http://www.goinpostaljacksonville.com/""]","[""https://www.facebook.com/463273470392736""]","[{""freeform"": ""7643 Gate Pkwy"", ""locality"": ""Jacksonville"", ""postcode"": ""32256-2892"", ""region"": ""FL"", ""country"": ""US""}]",0.9962614185921548
08f44f055a9a016e0390f050aa3c93c0,msft,"=""1407374886610455""",2025-01-06T00:00:00.000Z,Goin' Postal Jacksonville,"{""primary"": ""shipping_center"", ""alternate"": [""freight_and_cargo_service"", ""post_office""]}","[""+19049989600""]","[""http://www.goinpostaljacksonville.com/""]","[""https://www.facebook.com/463273470392736""]","[{""freeform"": ""7643 Gate Pkwy"", ""locality"": ""Jacksonville"", ""postcode"": ""32256-2892"", ""region"": ""FL"", ""country"": ""US""}]",0.9962614185921548
08f44f055a9a016e0390f050aa3c93c0,msft,"=""1407374885087697""",2025-01-06T00:00:00.000Z,Goin' Postal Jacksonville,"{""primary"": ""shipping_center"", ""alternate"": [""freight_and_cargo_service"", ""post_office""]}","[""+19049989600""]","[""http://www.goinpostaljacksonville.com/""]","[""https://www.facebook.com/463273470392736""]","[{""freeform"": ""7643 Gate Pkwy"", ""locality"": ""Jacksonville"", ""postcode"": ""32256-2892"", ""region"": ""FL"", ""country"": ""US""}]",0.9962614185921548
08f44f055a9a016e0390f050aa3c93c0,msft,"=""1125899909370151""",2025-01-06T00:00:00.000Z,Goin' Postal Jacksonville,"{""primary"": ""shipping_center"", ""alternate"": [""freight_and_cargo_service"", ""post_office""]}","[""+19049989600""]","[""http://www.goinpostaljacksonville.com/""]","[""https://www.facebook.com/463273470392736""]","[{""freeform"": ""7643 Gate Pkwy"", ""locality"": ""Jacksonville"", ""postcode"": ""32256-2892"", ""region"": ""FL"", ""country"": ""US""}]",0.9962614185921548
08f44f055a9a016e0390f050aa3c93c0,microsoft_structured,"=""1688849865669487""",2023-05-16T17:32:11.307,Goin' Postal Jacksonville,"{""primary"": ""vehicle_shipping"", ""alternate"": [""courier_and_delivery_services"", ""mailbox_center"", ""shipping_center"", ""post_office"", ""automotive""]}","[""9049989600""]","[""https://www.goinpostaljacksonville.com/""]",,"[{""freeform"": ""7643 Gate Pkwy Ste 104"", ""locality"": ""Jacksonville"", ""region"": ""FL"", ""country"": ""US"", ""postcode"": ""32256""}]",0.77
08f29a456e42e5830324637954145c50,meta,"=""107150256087765""",2025-01-06T00:00:00.000Z,Valley Transmission,"{""primary"": ""automotive_repair"", ""alternate"": [""automotive"", ""professional_services""]}","[""+16194474353""]","[""http://valleytransca.com/""]","[""https://www.facebook.com/107150256087765""]","[{""freeform"": ""1158 N 2nd St"", ""locality"": ""El Cajon"", ""postcode"": ""92021-5023"", ""region"": ""CA"", ""country"": ""US""}]",0.9962614185921548
08f29a456e42e5830324637954145c50,msft,"=""562949955288865""",2025-01-06T00:00:00.000Z,Valley Transmission,"{""primary"": ""automotive_repair"", ""alternate"": [""automotive"", ""professional_services""]}","[""+16194474353""]","[""http://valleytransca.com/""]","[""https://www.facebook.com/107150256087765""]","[{""freeform"": ""1158 N 2nd St"", ""locality"": ""El Cajon"", ""postcode"": ""92021-5023"", ""region"": ""CA"", ""country"": ""US""}]",0.9962614185921548
08f29a456e42e5830324637954145c50,msft,"=""562949955056590""",2025-01-06T00:00:00.000Z,Valley Transmission,"{""primary"": ""automotive_repair"", ""alternate"": [""automotive"", ""professional_services""]}","[""+16194474353""]","[""http://valleytransca.com/""]","[""https://www.facebook.com/107150256087765""]","[{""freeform"": ""1158 N 2nd St"", ""locality"": ""El Cajon"", ""postcode"": ""92021-5023"", ""region"": ""CA"", ""country"": ""US""}]",0.9962614185921548
