id,name,category,address,phones,websites,emails,socials,geometry
ad48ba68-ecb9-44aa-9475-c747ade8e888,Crescent No Lawyers Bar-Grill,bar,1791 S Wind Dancer Way,(208) 322-9856,http://www.no-lawyers.com,,https://www.facebook.com/964655713556249,POINT (-116.15111073710305 43.58771648550012)
a255e549-fa5b-4802-9f5b-4766331d6cd5,It's Sunny in Boise Photography,professional_services,S Galaxy Way,+12085996508,https://Itssunnyinboise.com/,,https://www.facebook.com/274984456037544,POINT (-116.1582421 43.5856424)
484c35a3-697a-4aba-b0f4-799fe720b430,Filtration Technology,industrial_equipment,2218 S Crosscreek Ln,+12083366611,https://www.ftc-houston.com,,https://www.facebook.com/144430022592423,POINT (-116.1641298 43.583872)
584d594d-84dd-4fd9-8119-665e907fc764,Baggley Park,park,1410 E Parkcenter Blvd,,http://www.cityofboise.org/Departments/Parks/ParksAndFacilities/Parks/page15749.aspx,,https://www.facebook.com/199657396735683,POINT (-116.1648741 43.5828727)
57e0b70d-e73c-4966-81d7-b48d68778e28,Trinity Construction,building_supply_store,1250 E Versailles Ct,(208) 392-4136,http://www.trinityconstruction.com,,,POINT (-116.16794135835524 43.583003541821704)
ca6d6e63-2426-4423-8471-db31ce2eb7ee,Boise Hawks Stadium,stadium_arena,,,https://news.boisestate.edu/update/tag/hawks-stadium,,https://www.facebook.com/179669382562422,POINT (-116.1690352 43.5888549)
e639ff77-7871-405c-9c13-70ccc493b999,14 Tram Trail Trailhead,hiking_trail,14 Tram Trail,,,,https://www.facebook.com/269461163069371,POINT (-116.1636599 43.592017)
b972a553-6f23-46a4-9a6c-3cf1763c337b,Warm Springs Golf Course,golf_course,2495 E Warm Springs Ave,2089728600,https://www.warmspringsgolfcourse.com/,,,POINT (-116.1649155 43.5922758)
9723e77f-abf6-4c0c-97d8-02029cfb8fe5,Warm Springs Golf Club,golf_course,2495 E Warm Springs Ave,(208) 343-5661,http://wsgc.cityofboise.org/,smcgeachin@cityofboise.org,,POINT (-116.16504389300327 43.59236156853712)
3474e000-795d-4ff0-b414-ede8e1a53612,LEAP Housing,community_services_non_profits,670 E Riverpark Ln,+12083912823,https://www.leaphousing.org/,,https://www.facebook.com/1775522059359215,POINT (-116.1748476 43.5912999)
8622d483-4867-439f-8762-e36d5e5abb8c,The Cottonwoods Apartments on the river,real_estate,1671 S Riverstone Ln,+12083422074,http://www.cottonwoodsboise.com/,,https://www.facebook.com/1769052206685246,POINT (-116.172559 43.591389)
b7b8dd34-3a92-4968-a536-6eccee1fe7aa,Reedhouse Apartments,real_estate_agent,1671 S Riverstone Ln,+12083443043,https://www.reedhouseboise.com/,,https://www.facebook.com/2052785091410273,POINT (-116.1724645 43.5914713)
c54b3d91-d38e-4248-9500-7e265f01353a,Bethine Church Nature Trail,park,Bethine Church Nature Trl,,http://parks.cityofboise.org/parks-locations/parks/bethine-church-river-trail,,https://www.facebook.com/150321621787306,POINT (-116.171228 43.591148)
8b31b82d-d747-4ed8-b1a7-94bf0e96db31,Biking Boise Greenbelt,active_life,,+12083344199,,,https://www.facebook.com/131772640669675,POINT (-116.1714619 43.5919732)
a6fb5dfd-886b-4fb7-8fdd-58a9fa496d84,Brookdale Boise Parkcenter AL,retirement_home,739 E Parkcenter Blvd,+12083385600,https://www.brookdale.com/en/communities/brookdale-boise-parkcenter-al.html?cid=yext,,https://www.facebook.com/508737649223326,POINT (-116.1749077 43.5887624)
a5b063a2-b2b7-49d2-9e68-71886a2216df,Stor-It Self Storage,self_storage_facility,1175 E Parkcenter Blvd,2083311888,https://www.stor-it.com/self-storage/boise-id-83706,,,POINT (-116.17404 43.58905)
5ec2d0c5-12f4-4070-b194-11ab50beef5b,5280 Solutions,software_development,709 E Riverpark Ln,+12083443776,http://www.5280solutions.com,,https://www.facebook.com/103558739710068,POINT (-116.1746067 43.5900492)
5ba8c8dc-dd9b-4893-8386-42e9f4d9e445,"Bevis, Thiry, Henson and Katz",lawyer,709 E Riverpark Ln,+12083451040,http://www.bevislaw.com/,,https://www.facebook.com/347042009284917,POINT (-116.1742417 43.5900834)
00841813-a45b-46c9-a38f-380aa93c7cf6,The Bluebird Preschool,preschool,709 E Riverpark Ln,+12088638415,http://www.thebluebirdpreschool.com/,,https://www.facebook.com/582263428540512,POINT (-116.1744681 43.5901334)
5c5f9be5-dd1e-4751-a0bb-2afae96f9bc5,Fisher Tax and Accounting LLC,accountant,709 E Riverpark Ln Ste 125,2089146085,https://fisher-tax-and-accounting-llc.business.site/,,,POINT (-116.174307 43.590055)
248e3991-c117-4bb7-aa2d-f3497c8559f1,Sinus Center-Idaho,medical_center,727 E Riverpark Ln,2084339300,http://www.sinuscenters.com/,,,POINT (-116.174216 43.590922)
50439b92-79a0-49bf-9aff-360d5c6fdfe5,East Boise Dental,dentist,727 E Riverpark Ln,+12083680500,http://www.eastboisedental.com/,,https://www.facebook.com/247712791936892,POINT (-116.1742149 43.5907943)
c885ceba-0840-4f54-aa16-72382768aebb,Allergy Clinic-Idaho,allergist,727 E Riverpark Ln,2083888900,http://www.allergyclinicidaho.com/,,,POINT (-116.174224853516 43.5906600952148)
1993466e-7f46-4640-b2b6-5e34b6486538,Stantec,engineering_services,727 E Riverpark Ln Ste 150,2083455865,https://www.stantec.com/en/offices/united-states-locations/idaho-offices-filtered/boise-idaho-office,,,POINT (-116.1742283 43.5906599)
22a0de3b-5d3c-4851-9952-857a3f2953d0,Dr. David Blackmer,podiatrist,727 E Riverpark Ln Ste 100,2083190497,http://www.idahofootcare.com/,,,POINT (-116.174179077148 43.5906524658203)
9b040936-2f85-4a91-b474-e328d9be36ec,Wold John D DDS,dentist,727 E Riverpark Ln,+12083839155,http://www.parkcenterdental.com,,https://www.facebook.com/116873595038781,POINT (-116.1742583 43.5906131)
a5b91d43-2cb5-4861-8b94-2607d20c5ea6,Bengoechea Law Office,lawyer,671 E Riverpark Ln,+12084248332,http://www.soblawyers.com/,,https://www.facebook.com/930937273610702,POINT (-116.174907 43.5907191)
e1c12daa-4e63-45c7-9d60-1b1b3e7fb1c2,River Run Day Spa,massage_therapy,671 E Riverpark Ln Ste 110,(208) 344-5411,https://www.riverrunspa.com,riverrunspa@gmail.com,https://www.facebook.com/245268222528408,POINT (-116.17490730959973 43.59075749678785)
8a7f4fb4-f89d-4134-8fc3-de696c7f0404,Clear Nail Laser Clnic,nail_salon,727 E Riverpark Ln Ste 100,2083190497,http://www.clearnaillaserclinics.com/,,,POINT (-116.17448 43.59093)
1680b22a-eea6-4153-b8a3-5e42ec449ddd,Annie Grubb Realty,real_estate_agent,671 E Riverpark Ln,2085709921,https://www.anniegrubbrealty.com/,,,POINT (-116.174962 43.5909524)
341568d0-df8a-4ff0-aa7f-02ee09f9e451,DermaClinic Well-Being Spa,spas,671 E Riverpark Ln,+12083445411,http://dermaclinic-spa.com/,,https://www.facebook.com/131366693585154,POINT (-116.1752085 43.5906601)
b4286aec-10ab-4ad7-8a34-05113562e11d,Peterson Lawyers,lawyer,671 E Riverpark Ln,+12083424633,http://Idahocriminaldefenselaw.com/,,https://www.facebook.com/246667408790857,POINT (-116.1750127 43.5908167)
10832fa7-a0c4-4b38-a9dd-644fffc31185,Park Center Foot and Ankle Clinic,podiatrist,671 E Riverpark Ln,+12083870900,https://www.drrandylowe.com/,,https://www.facebook.com/104164125535348,POINT (-116.174999 43.5908106)
dacbce09-8e2a-4644-a4be-5a30b6725637,Succentrix Business Advisors,accountant,671 E Riverpark Ln,+12088910946,https://boisesuccentrix.com/,,https://www.facebook.com/103255991252142,POINT (-116.1749708 43.5908245)
c21a095b-65ff-4fac-845e-4f6385dda8e9,Valere Medi and Day Spa,medical_spa,671 E Riverpark Ln,+12083445411,,,https://www.facebook.com/110263701108303,POINT (-116.1749705 43.5908253)
a8843632-ac53-45a7-bded-53891f719913,American Health Value,health_coach,671 E Riverpark Ln Ste 100,8009143248,http://www.americanhealthvalue.com/,,,POINT (-116.174949645996 43.5907173156738)
76bbb415-300b-467f-9c24-41997c14015b,The Exercise Coach Boise,fitness_trainer,671 E Riverpark Ln,+12083147878,https://exercisecoach.com/,,https://www.facebook.com/304862536052688,POINT (-116.1749705 43.5907145)
4fbfd318-0792-4e25-9f76-9d5f8311becb,"The Nest Behavioral Health, LLC",counseling_and_mental_health,671 E Riverpark Ln,+12089910756,http://www.boisenest.com/,,https://www.facebook.com/1883609941914513,POINT (-116.17495 43.59072)
